,name,categories,display_phone,image_url,price,rating,review_count,latitude,longitude,is_closed
13,Street Bean Coffee,coffee,(206) 708-6803,https://s3-media1.fl.yelpcdn.com/bphoto/heuePj6FRbzvVHKmwPrcPw/o.jpg,$,4.5,251,47.6173786,-122.3493343,False
14,Steepologie,coffee,(206) 624-7745,https://s3-media4.fl.yelpcdn.com/bphoto/Fn8GXz1MIw65xg8cyMrZdA/o.jpg,$$,5.0,90,47.6123484261,-122.3392970614,False
15,Seattle Best Tea,coffee,(206) 749-9855,https://s3-media1.fl.yelpcdn.com/bphoto/iKDTnPWqwdFJ9uL_EWiNzg/o.jpg,$,4.5,247,47.59846,-122.32731,False
16,Hi-Lo's 15th St. Cafe,coffee,(360) 373-7833,https://s3-media2.fl.yelpcdn.com/bphoto/SiNVIXhuNAjKqlNj36WRxw/o.jpg,$,4.5,508,47.57484,-122.65421,False
17,Sharetea,coffee,(425) 496-8195,https://s3-media4.fl.yelpcdn.com/bphoto/VLwpYhLnnI9SjKohQNAFuw/o.jpg,$,4.5,463,47.4961596705,-122.1997509562,False
18,Espresso Vivace Sidewalk Bar,coffee,(206) 860-5869,https://s3-media1.fl.yelpcdn.com/bphoto/LQYtX4hZY2VwzM8cd4BCdg/o.jpg,$,4.5,401,47.621665,-122.321304,False
19,Scratch Deli,coffee,(206) 257-4554,https://s3-media1.fl.yelpcdn.com/bphoto/6TnCpb7YJNB1oF_SfbaHaA/o.jpg,$,4.5,233,47.6170777,-122.3164896,False
20,MarketSpice,coffee,(206) 622-6340,https://s3-media3.fl.yelpcdn.com/bphoto/Fq4WkPRmFEPQWOOBgcSloA/o.jpg,$$,4.5,239,47.60832,-122.34081,False
21,Chocolat Vitale,coffee,(206) 297-0863,https://s3-media1.fl.yelpcdn.com/bphoto/nrZOePD0yfUUPLuHc3H7XQ/o.jpg,$$,5.0,39,47.6757813,-122.3610001,False
22,Five Stones Coffee Company,coffee,(425) 242-0099,https://s3-media1.fl.yelpcdn.com/bphoto/owOjs_vd_3tDPo2wvSkTcA/o.jpg,$,4.5,278,47.67583,-122.12471,False
23,Anchorhead Coffee,coffee,,https://s3-media2.fl.yelpcdn.com/bphoto/w7kAF7anW3mSSPUFOwVfEw/o.jpg,$,4.5,312,47.6133808023,-122.3346911825,False
24,Storyville Coffee Company,coffee,(206) 780-5777,https://s3-media1.fl.yelpcdn.com/bphoto/OEfDyTh_WCoIu205NLutaA/o.jpg,$$,4.5,231,47.638254,-122.356804,False
25,Queen Bee Cafe,coffee,(206) 757-6314,https://s3-media1.fl.yelpcdn.com/bphoto/4W51jFWZ5Dcjjyf2I5shdw/o.jpg,$,4.5,334,47.6187286,-122.3034592,False
26,Tea Republik,coffee,(206) 497-7631,https://s3-media1.fl.yelpcdn.com/bphoto/Cpllzo5N5-ZSkzpTXMfREw/o.jpg,$,4.5,282,47.6620911,-122.3132793,False
27,Moore Coffee Shop,coffee,(206) 883-7044,https://s3-media4.fl.yelpcdn.com/bphoto/_tuzd3En75uJaVSHDkkgcA/o.jpg,$,4.5,900,47.611705,-122.3412531,False
28,The Station,coffee,(206) 453-4892,https://s3-media1.fl.yelpcdn.com/bphoto/KGfzDDHRdQdmFy2mOW8nhQ/o.jpg,$,4.5,179,47.579563,-122.311864,False
29,Cafetal Quilombo,coffee,(206) 602-6412,https://s3-media4.fl.yelpcdn.com/bphoto/muCaMNBtKf07a3ycSznW4w/o.jpg,$,4.5,109,47.5640514278,-122.3139401116,False
30,Rila Bakery & Cafe,coffee,(425) 967-6094,https://s3-media3.fl.yelpcdn.com/bphoto/JFU3vBXvGmBqUvyMRs96hQ/o.jpg,$,4.5,158,47.8210983276,-122.3365020752,False
31,Starbucks Reserve Roastery & Tasting Room,coffee,(206) 624-0173,https://s3-media3.fl.yelpcdn.com/bphoto/7rnXd0XYWAS44aGYiQMIPg/o.jpg,$$,4.5,2126,47.6140014482,-122.3280584067,False
32,Tempesta,coffee,(206) 427-8978,https://s3-media2.fl.yelpcdn.com/bphoto/dBpqWFCLw5j2TcoN2D-IbQ/o.jpg,$$,5.0,48,47.61316,-122.34263,False
33,Urban Luxe Cafe,coffee,(206) 900-1056,https://s3-media3.fl.yelpcdn.com/bphoto/Pk0HJ_rYYsfrAHz5eP7KaQ/o.jpg,$$,5.0,45,47.67294,-122.31774,False
34,Mel & Mia's Unique Pastries and Fine Coffees,coffee,(425) 361-7044,https://s3-media1.fl.yelpcdn.com/bphoto/kwglFzCwVSlRU2hvXQMrow/o.jpg,$,4.5,109,47.83079,-122.33675,False
35,J'aime Les Crêpes,coffee,(360) 297-5886,https://s3-media1.fl.yelpcdn.com/bphoto/qZRN2Pi75XKTsLCGYJPNfA/o.jpg,$,4.5,191,47.797277,-122.496812,False
36,Ugly Mug Café & Coffee Roasters,coffee,(206) 547-3219,https://s3-media4.fl.yelpcdn.com/bphoto/SAFdn54mTqRWWrz8tq8a6Q/o.jpg,$,4.5,415,47.6597958,-122.3139519,False
37,Realfine Coffee,coffee,(206) 395-6808,https://s3-media4.fl.yelpcdn.com/bphoto/Uv8IJFxYMB33BgGsRzoGpg/o.jpg,$,5.0,50,47.563339,-122.37828,False
38,Wide Eye Coffee,coffee,,https://s3-media3.fl.yelpcdn.com/bphoto/vNndG09hAqiFvI83du1evg/o.jpg,$,5.0,32,47.4233872,-122.248522,False
39,Storyville Coffee Company,coffee,(206) 780-5777,https://s3-media3.fl.yelpcdn.com/bphoto/vuFOMUJ7dvB_STZMNzIwMg/o.jpg,$$,4.5,317,47.6047463759,-122.3365122582,False
40,Cafe Argento,coffee,(206) 832-9109,https://s3-media1.fl.yelpcdn.com/bphoto/rqMXj5OrbxJ-QKYTJPfguw/o.jpg,$,4.5,113,47.6161727905,-122.317276001,False
41,Burien Press,coffee,(206) 453-5412,https://s3-media3.fl.yelpcdn.com/bphoto/_LIf3vfq4swxl8ubfUdKBw/o.jpg,$,4.5,258,47.46665,-122.34022,False
42,Walnut Street Coffee,coffee,(425) 774-5962,https://s3-media2.fl.yelpcdn.com/bphoto/mWpy0k7PWf-DBuDSvHAH3g/o.jpg,$,4.5,220,47.80715,-122.37813,False
43,Bite Box,coffee,(206) 708-1213,https://s3-media3.fl.yelpcdn.com/bphoto/gbeEHQ9fxq7KgwMM27xIJQ/o.jpg,$$,4.5,75,47.639415741,-122.3614425659,False
44,Biscuit Bitch,coffee,(206) 623-1859,https://s3-media4.fl.yelpcdn.com/bphoto/WUnigNI9n5Gdpw4qdyOSyw/o.jpg,$,4.5,719,47.60324,-122.3321,False
45,Jake's Pickup,coffee,(206) 842-5595,https://s3-media2.fl.yelpcdn.com/bphoto/gUzBaWvA8RmN7JX2sSHVkA/o.jpg,$$,4.5,126,47.6359114177,-122.5158219982,False
46,urban COFFEE lounge,coffee,(425) 820-7788,https://s3-media1.fl.yelpcdn.com/bphoto/Vb-iTiRwPwz-QFNTTU2TBw/o.jpg,$$,4.5,415,47.7066558,-122.2120192,False
47,Milstead,coffee,(206) 659-4814,https://s3-media1.fl.yelpcdn.com/bphoto/34C4_yfdgvK9NL8uhA1XmQ/o.jpg,$,4.5,399,47.649363089,-122.3470809116,False
48,Artisan Cafe,coffee,(206) 441-8885,https://s3-media2.fl.yelpcdn.com/bphoto/u5u7L_hYHFrA98LKdcQoag/o.jpg,$,4.5,273,47.6177632,-122.3463131,False
49,Moore Coffee,coffee,(206) 883-7044,https://s3-media2.fl.yelpcdn.com/bphoto/3SFpAnqTaFVyehYpf4LcQg/o.jpg,$,4.5,75,47.6105306,-122.3412861,False
50,The Wick Motorcycles and Coffee,coffee,(206) 383-3374,https://s3-media2.fl.yelpcdn.com/bphoto/wmmWjGz99cVgL4J7ZvWrhg/o.jpg,$,5.0,41,47.64889774,-122.3575073519,False
51,C & P Coffee Company,coffee,(206) 933-3125,https://s3-media3.fl.yelpcdn.com/bphoto/Zvr30_ZuVtrMkT63ms79Ew/o.jpg,$,4.5,168,47.55168,-122.38667,False
52,Drip City Coffee,coffee,(206) 778-3729,https://s3-media1.fl.yelpcdn.com/bphoto/kAQnFVdaF4u-MdYCpS5FuA/o.jpg,$,4.5,171,47.61722,-122.35362,False
53,Slate Coffee Roasters,coffee,,https://s3-media1.fl.yelpcdn.com/bphoto/XzqFVDu_S0VdU-Lz1s9ayQ/o.jpg,$$,4.5,252,47.6683499,-122.36354,False
54,Caffè Senso Unico,coffee,(206) 264-7611,https://s3-media2.fl.yelpcdn.com/bphoto/6bT0uaWuLuXfsXY3a5W-2w/o.jpg,$,4.5,215,47.6135499,-122.33564,False
55,Capitol Coffee Works,coffee,(206) 340-8867,https://s3-media3.fl.yelpcdn.com/bphoto/urJBeWVIBKKxHqXvw4Ge7w/o.jpg,$$,4.5,85,47.61395,-122.32031,False
56,Konvene Coffee,coffee,(206) 866-9134,https://s3-media3.fl.yelpcdn.com/bphoto/dF7WpWV7LHRnl1S2WjjriQ/o.jpg,$$,4.5,51,47.6248400992,-122.3470900208,False
57,Café Avole,coffee,(206) 565-4884,https://s3-media2.fl.yelpcdn.com/bphoto/c6_wCQeNDj-ThQNlIviTjg/o.jpg,$,4.5,51,47.5426063538,-122.2726211548,False
58,Salted Grape Cafe,coffee,(425) 485-0077,https://s3-media3.fl.yelpcdn.com/bphoto/wNpIqXznlEHsaGdUqcI7gQ/o.jpg,$,4.5,62,47.7955605012,-122.2103573962,False
59,Biscuit Bitch,coffee,(206) 441-7999,https://s3-media1.fl.yelpcdn.com/bphoto/cmO5p7DUJjB8G3IH7zqJbw/o.jpg,$,4.0,2947,47.61034,-122.34167,False
60,Sod House Bakery,coffee,(206) 522-3000,https://s3-media3.fl.yelpcdn.com/bphoto/GsBNqcDsMEYGRKlfelfdhg/o.jpg,$,4.5,96,47.67591,-122.3044,False
61,Countryside Donut House,coffee,(425) 672-7820,https://s3-media3.fl.yelpcdn.com/bphoto/oloIkmt5PxSW-2QUqsVXWQ/o.jpg,$,4.5,103,47.8,-122.32127,False
62,Dolce Vita Espresso,coffee,(425) 686-4803,https://s3-media3.fl.yelpcdn.com/bphoto/2bFwWAJo-onK-ewCXfZr8Q/o.jpg,$,5.0,47,47.7597599906,-122.2525441647,False
63,Amore' Coffee,coffee,(425) 503-5792,https://s3-media4.fl.yelpcdn.com/bphoto/Arn40TIOiNIJ3pBlZmU0VQ/o.jpg,$,4.5,90,47.6292118,-122.1537272,False
64,Bottega Italiana,coffee,(206) 343-0200,https://s3-media2.fl.yelpcdn.com/bphoto/3rf1JVneb71Rb88Pl6Rj7g/o.jpg,$,4.5,297,47.6084207743,-122.3397561908,False
65,Beach Bakery,coffee,(206) 721-2225,https://s3-media2.fl.yelpcdn.com/bphoto/G3hhZ2kkGBoWwps5hM7sVg/o.jpg,$,4.5,70,47.5316740647,-122.2699165297,False
66,Sugar Bakery & Coffeehouse,coffee,(206) 695-2518,https://s3-media2.fl.yelpcdn.com/bphoto/wMobbIc1p7ZB7Z3q_pVpBQ/o.jpg,$$,4.5,115,47.62343,-122.35486,False
67,Sweet Alchemy Ice Creamery,coffee,(206) 632-0243,https://s3-media1.fl.yelpcdn.com/bphoto/ynKeZveeg2IGNtRB2YwrhQ/o.jpg,$$,4.5,261,47.65998,-122.31337,False
68,Citra,coffee,(206) 327-9012,https://s3-media1.fl.yelpcdn.com/bphoto/jo-fVrNNeUNWCR64Zx4B3Q/o.jpg,$,4.5,179,47.6638174141,-122.3129714479,False
69,Fresh Flours,coffee,(253) 470-6753,https://s3-media4.fl.yelpcdn.com/bphoto/6udZBZMri5T2GnClZ7uCnQ/o.jpg,$$,4.5,73,47.5186972271,-122.3562457167,False
70,Empire Espresso,coffee,(971) 328-0048,https://s3-media2.fl.yelpcdn.com/bphoto/8c5kXk4LxPNstwBc7qEBEw/o.jpg,$,4.5,292,47.5585387405,-122.2842946444,False
71,Kaladi Brothers Coffee,coffee,(206) 257-1688,https://s3-media2.fl.yelpcdn.com/bphoto/PEiB7N3WtvLLsthfROELxA/o.jpg,$,4.5,244,47.614,-122.324709,False
72,SoulFood CoffeeHouse,coffee,(425) 881-5309,https://s3-media2.fl.yelpcdn.com/bphoto/Qu37fmGEDVsKlpEd7UoLjw/o.jpg,$,4.5,229,47.6748847371,-122.1301288658,False
73,QED Coffee,coffee,(206) 235-7678,https://s3-media2.fl.yelpcdn.com/bphoto/Cy39tEgcsHfnOB4aCI-meQ/o.jpg,$,4.5,73,47.5896816514,-122.2923200345,False
74,Van Gogh Coffeehouse,coffee,(206) 523-1466,https://s3-media1.fl.yelpcdn.com/bphoto/iE1Q3m7HDqRSPMH3Ow8iUQ/o.jpg,$,4.5,128,47.68896,-122.29012,False
75,ETG Coffee and Bakery,coffee,(206) 633-3685,https://s3-media2.fl.yelpcdn.com/bphoto/DSPjSuYkgeJ7scKBK4M4ag/o.jpg,$,4.5,129,47.6508899,-122.35026,False
76,The Green Beanery,coffee,(425) 893-9760,https://s3-media4.fl.yelpcdn.com/bphoto/_EdWaE-UiocXD8TOjJkJAw/o.jpg,$$,4.5,61,47.6661330643,-122.1653811577,False
77,Crown Donut,coffee,(425) 432-0299,https://s3-media2.fl.yelpcdn.com/bphoto/HXqssl-GFtOvLP2ClTE8Gw/o.jpg,$,4.5,82,47.39168,-122.0454,False
78,J'aime Les Crepes,coffee,(206) 842-5276,https://s3-media2.fl.yelpcdn.com/bphoto/7y8HmNbnORTqA_ZtyrgcEQ/o.jpg,$,4.5,162,47.6250191,-122.5197372,False
79,Sharetea,coffee,(206) 632-1038,https://s3-media2.fl.yelpcdn.com/bphoto/Ir9-WaONyaMdCiB2-X7Fsw/o.jpg,$,4.0,437,47.6613402794,-122.3162586987,False
80,Dubsea Coffee,coffee,(206) 708-6806,https://s3-media2.fl.yelpcdn.com/bphoto/uvoFfNjnYWuCaaG1HKe5-g/o.jpg,$,4.5,174,47.51457,-122.34497,False
81,Squirrel Chops,coffee,(206) 485-7017,https://s3-media2.fl.yelpcdn.com/bphoto/0fA2ebtcBXd5Qi6UE6iUTA/o.jpg,$,5.0,42,47.6128151,-122.3034697,False
82,Fran's Chocolates,coffee,(206) 682-0168,https://s3-media1.fl.yelpcdn.com/bphoto/18ELNYUhwh0J-aY7wqnbRQ/o.jpg,$$$,4.5,328,47.6076583012,-122.3391472809,False
83,Cafe Pettirosso,coffee,(206) 324-2233,https://s3-media4.fl.yelpcdn.com/bphoto/R2uI36UR9Rf-eZnLYIpuNg/o.jpg,$$,4.0,553,47.6138316046,-122.3179296442,False
84,Moondrop Coffee & Tea,coffee,(206) 430-5839,https://s3-media4.fl.yelpcdn.com/bphoto/nf-CnWnCCjd-mG_C7em-Kw/o.jpg,$,4.5,79,47.58913,-122.38145,False
85,Seattle Sunshine Coffee,coffee,(206) 492-7916,https://s3-media4.fl.yelpcdn.com/bphoto/5v8qIIKenWzZyiRlUPnLhw/o.jpg,$,4.5,72,47.6688690186,-122.289855957,False
86,Side Hustle Doughnuts,coffee,(206) 258-4987,https://s3-media2.fl.yelpcdn.com/bphoto/PmCEEsDSQb_CxySBfniNfA/o.jpg,$,4.5,55,47.54773,-122.31463,False
87,Cascade Grind,coffee,(425) 606-0891,https://s3-media4.fl.yelpcdn.com/bphoto/xjS0eNnsOLLSdojcUmOdcQ/o.jpg,$,4.5,49,47.6751407,-122.126215,False
88,Young Tea,coffee,(206) 682-6688,https://s3-media1.fl.yelpcdn.com/bphoto/rs7i8YQp0mSaQz_5OEr3NQ/o.jpg,$,4.0,330,47.59733,-122.32597,False
89,Cafe Red,coffee,,https://s3-media3.fl.yelpcdn.com/bphoto/I5qH07qBE3lZtCC7lIGJhg/o.jpg,$,5.0,26,47.5375372,-122.2809611,False
90,Freshy's,coffee,(206) 937-4316,https://s3-media1.fl.yelpcdn.com/bphoto/bbnyOlgX7yGTnaE7cBXOMQ/o.jpg,$,4.5,131,47.5782775879,-122.3870544434,False
91,Espresso Vivace Alley 24,coffee,(206) 388-5164,https://s3-media1.fl.yelpcdn.com/bphoto/eBsCOeWoJrTp8n03sclSJQ/o.jpg,$,4.0,548,47.62021,-122.33069,False
92,Shawn's Cafe & Bakery,coffee,(206) 232-3221,https://s3-media3.fl.yelpcdn.com/bphoto/bTOZYVrPqXjs8_E9a7NhUA/o.jpg,$,4.5,94,47.58932,-122.2395,False
93,Sunrise Donuts & Espresso,coffee,(425) 885-6112,https://s3-media3.fl.yelpcdn.com/bphoto/WlOwt-ZK06b4mDJN6lhzqg/o.jpg,$,4.5,167,47.6694064695,-122.1305551152,False
94,BAMBU,coffee,(206) 538-0399,https://s3-media1.fl.yelpcdn.com/bphoto/_CQuXC7vMMx9BwiKKl6BTw/o.jpg,$,4.0,378,47.59785,-122.32338,False
95,Kringles Bakery,coffee,(425) 558-3688,https://s3-media4.fl.yelpcdn.com/bphoto/cQ8DJ3_AxcECqgluYFkE-w/o.jpg,$,4.5,110,47.6723866122,-122.1169461055,False
96,Katy's Corner Cafe,coffee,(206) 329-0121,https://s3-media4.fl.yelpcdn.com/bphoto/tWIT2FtUK9uHK-EQklG9dw/o.jpg,$,4.5,160,47.6130549,-122.3061934,False
97,Hot Cakes Molten Chocolate Cakery,coffee,(206) 453-3792,https://s3-media2.fl.yelpcdn.com/bphoto/biDd6w-6c0sOV4Xvd5QnAg/o.jpg,$$,4.0,1184,47.668085327200004,-122.3855763958,False
98,Stumptown Coffee Roasters,coffee,(206) 323-1544,https://s3-media1.fl.yelpcdn.com/bphoto/F1YfPV1alkOsPDiSEnQMcQ/o.jpg,$,4.0,364,47.61195,-122.31719,False
99,Katya's Bakery,coffee,(425) 610-3902,https://s3-media1.fl.yelpcdn.com/bphoto/KpNrXy-iiIhmif_7zRaAfQ/o.jpg,$,4.5,136,47.8811941274,-122.2433795828,False
100,Dutch Bros Coffee,coffee,(541) 955-4700,https://s3-media4.fl.yelpcdn.com/bphoto/uTmC4JL-jzZcXA0_JTVqqw/o.jpg,$,4.5,154,47.47282,-122.21793,False
101,Indi Chocolate,coffee,(425) 243-2089,https://s3-media1.fl.yelpcdn.com/bphoto/gd5oUEd_UkVr0nq_pWD2rw/o.jpg,$$,4.5,84,47.6095277578,-122.3427795546,False
102,Espresso Vivace Roasteria,coffee,(206) 860-2722,https://s3-media2.fl.yelpcdn.com/bphoto/RlfOAGL5h8Xp4ZIwASnkcQ/o.jpg,$,4.0,680,47.6238354264,-122.3207762092,False
103,Tyler's Donut House,coffee,(425) 347-8305,https://s3-media3.fl.yelpcdn.com/bphoto/4o9fglPBJv97xsl057F7Eg/o.jpg,$,4.5,71,47.8970031738,-122.2524719238,False
104,Churchmouse Yarns & Teas,coffee,(206) 780-2686,https://s3-media4.fl.yelpcdn.com/bphoto/kFpeDqaREYF_neuqe15Fmg/o.jpg,$$,4.5,71,47.625086,-122.519479,False
105,Elm Coffee Roasters,coffee,(206) 445-7808,https://s3-media2.fl.yelpcdn.com/bphoto/TaWuXQp8OcdQMAHQyWQgog/o.jpg,$,4.5,224,47.6001439519,-122.3310288423,False
106,Herkimer Coffee,coffee,(206) 525-5070,https://s3-media2.fl.yelpcdn.com/bphoto/GR6sk8byz_HqwNrKGs5VtA/o.jpg,$,4.5,154,47.6698722839,-122.3133926392,False
107,Storyville Coffee Company,coffee,(888) 323-3348,https://s3-media1.fl.yelpcdn.com/bphoto/whj5abyCmWc5VwMuZt6JXQ/o.jpg,$$,4.5,45,47.6482685,-122.523532,False
108,Joe Bar,coffee,(206) 324-0407,https://s3-media3.fl.yelpcdn.com/bphoto/Wi4uJVto_ZXia7R6Za5DUw/o.jpg,$,4.0,273,47.62522,-122.32161,False
109,Pie,coffee,(206) 436-8590,https://s3-media2.fl.yelpcdn.com/bphoto/3mwDKPB6gTe_a3V0SDzc9Q/o.jpg,$,4.0,668,47.65114,-122.35022,False
110,La Marzocco Café & Showroom,coffee,(206) 388-3500,https://s3-media4.fl.yelpcdn.com/bphoto/lW7f8VRXBmEPwTSxVkfWzA/o.jpg,$,4.5,185,47.622840633,-122.3552023476,False
111,Mercurys Coffee Co.,coffee,(425) 406-8059,https://s3-media2.fl.yelpcdn.com/bphoto/fGLZB94aoqi_gIt4MLcoMQ/o.jpg,$,4.5,201,47.6793567,-122.1782588,False
112,Grand Pere Bakery,coffee,(425) 672-8818,https://s3-media2.fl.yelpcdn.com/bphoto/D-XRXrPpQQm9WV7KMvZ-iQ/o.jpg,$,4.5,106,47.7803101341,-122.3081827044,False
113,The Dutchboy Coffee,coffee,(206) 295-9070,https://s3-media1.fl.yelpcdn.com/bphoto/pDTI4lBTuOHy3CrxUyqdVw/o.jpg,$,5.0,24,47.53349,-122.35471,False
114,Cloud City Coffee,coffee,(206) 527-5552,https://s3-media3.fl.yelpcdn.com/bphoto/2-dW0qnGFLZc-WOZlV4mlQ/o.jpg,$,4.0,251,47.6923141479,-122.3179397583,False
115,Trophy Cupcakes and Party,coffee,(206) 632-7020,https://s3-media3.fl.yelpcdn.com/bphoto/If1xTwIzLFqxN0pB9puxtw/o.jpg,$$,4.0,749,47.6608352661,-122.3355865479,False
116,Java Jahn,coffee,(206) 789-9441,https://s3-media3.fl.yelpcdn.com/bphoto/-W33G1FC-dg9WwhHzoOE_A/o.jpg,$,4.5,58,47.66391,-122.37491,False
117,Coffeemind,coffee,(206) 717-2147,https://s3-media4.fl.yelpcdn.com/bphoto/0rJnNy62E_kpWaFe45gN0Q/o.jpg,$$,4.5,39,47.63622,-122.37064,False
118,Bellden Cafe,coffee,(425) 698-1597,https://s3-media2.fl.yelpcdn.com/bphoto/wfnc-v-7P3d9Rb7rVSmEQQ/o.jpg,$,4.0,214,47.6100151,-122.1994088,False
119,Maltby Cafe,coffee,(425) 483-3123,https://s3-media4.fl.yelpcdn.com/bphoto/OI1sB2WDsxiBG0Xautnv3w/o.jpg,$$,4.0,700,47.805344,-122.114285,False
120,SELEUSS Chocolates,coffee,(206) 374-8123,https://s3-media2.fl.yelpcdn.com/bphoto/Oh_A1eULq-oYAY03jS8l-Q/o.jpg,$$$,5.0,25,47.6105693363,-122.3416151158,False
121,Evoke Coffee,coffee,(425) 244-6203,https://s3-media3.fl.yelpcdn.com/bphoto/ilKQZ4JSZRqRCUfVrC8uZw/o.jpg,$$,4.5,82,47.6207074,-122.3401655,False
122,Cortona Cafe,coffee,(206) 327-9728,https://s3-media2.fl.yelpcdn.com/bphoto/93kI_tpqL4I8mqS4LxYYlA/o.jpg,$,4.5,91,47.61275,-122.30028,False
123,Vince's Coffee,coffee,(425) 271-8820,https://s3-media2.fl.yelpcdn.com/bphoto/usxcpRH45OGZnr3w-6N2UQ/o.jpg,$,4.5,116,47.48913,-122.17228,False
124,Stone Way Cafe,coffee,(206) 420-4435,https://s3-media1.fl.yelpcdn.com/bphoto/SmI-TNKYGZsBo4c_YnrEOQ/o.jpg,$$,4.0,214,47.6498178632,-122.342511255,False
125,C.C Espresso and Ice Creamery,coffee,(425) 788-9718,https://s3-media1.fl.yelpcdn.com/bphoto/B4p_ULyVY--VC35f_4nALw/o.jpg,$,5.0,31,47.74061,-121.98643,False
126,Fuelrz Natural Muffins and Cafe,coffee,(360) 337-1313,https://s3-media2.fl.yelpcdn.com/bphoto/qqIqrlpmgeCkcJiI9A-7Iw/o.jpg,$$,4.5,72,47.654959735,-122.6875310537,False
127,Top Pot Doughnuts,coffee,(206) 728-1966,https://s3-media2.fl.yelpcdn.com/bphoto/5CCxH7On0-iI5Sf5syrIUQ/o.jpg,$,4.0,1586,47.6151731973,-122.3412851733,False
128,Practical Sparrow Cafe,coffee,(425) 402-4402,https://s3-media3.fl.yelpcdn.com/bphoto/WKdqDbJ1adtCOOfQVPpsQw/o.jpg,$$,4.5,44,47.781950696,-122.2227358939,False
129,Mr West Cafe Bar,coffee,(206) 900-9378,https://s3-media4.fl.yelpcdn.com/bphoto/jlUPswHspYwEVVnKktoGug/o.jpg,$$,4.0,318,47.614126,-122.3345,False
130,Fit Bar Superfood Cafe,coffee,(206) 371-4078,https://s3-media4.fl.yelpcdn.com/bphoto/3rGYAA_DRT3wOlYDSx08MQ/o.jpg,$,4.5,106,47.47864,-122.20754,False
131,Bird On A Wire Espresso,coffee,(206) 280-5304,https://s3-media2.fl.yelpcdn.com/bphoto/i0aRdvNet1GJd8hQT4Ux_w/o.jpg,$,4.5,132,47.52277,-122.37718,False
132,Cypress Coffee,coffee,(425) 429-6167,https://s3-media3.fl.yelpcdn.com/bphoto/WmRDovmD0vjTzNRGNEqcrg/o.jpg,$$,4.5,37,47.58198,-122.14017,False
133,Preserve and Gather,coffee,(206) 403-1149,https://s3-media4.fl.yelpcdn.com/bphoto/0FfxCBhyTj-nHntmzQxHKw/o.jpg,$,4.5,110,47.69086,-122.36309,False
134,Top Pot Doughnuts,coffee,(206) 323-7841,https://s3-media1.fl.yelpcdn.com/bphoto/QCLWliQ61u_BWK1iTGGTWw/o.jpg,$,4.0,412,47.62468,-122.32561,False
135,Bulldog News,coffee,(206) 632-6397,https://s3-media2.fl.yelpcdn.com/bphoto/GSW94UlI5xuyosz3o-hdZw/o.jpg,$,4.5,75,47.6585619897,-122.3131151497,False
