field_1,Unnamed: 0,name,categories,display_phone,image_url,price,rating,review_count,latitude,longitude,is_closed,neighborhood,sublocality,postal_code,NEIGHBORHO
418,418,Kung Fu Tea,coffee,(206) 294-3900,https://s3-media3.fl.yelpcdn.com/bphoto/8dV5gKKwGk4Pn8YhCoHu5g/o.jpg,$,3.50000,131,47.66407,-122.31293,False,,,98105,University District
437,437,Jake's Coffee,coffee,(206) 457-5319,https://s3-media3.fl.yelpcdn.com/bphoto/MzhaHRDF2CM_KurcM2E3Vg/o.jpg,$,4.00000,56,47.66325,-122.31566,False,,,98105,University District
481,481,Bambu,coffee,(206) 588-2227,https://s3-media1.fl.yelpcdn.com/bphoto/GXG1yS_YZzOw6P_DmCMaCg/o.jpg,$,4.00000,38,47.66163,-122.31339,False,,,98105,University District
530,530,Bean & Bagel,coffee,,https://s3-media2.fl.yelpcdn.com/bphoto/HndGNVSqS8U_bsYB7VyAXg/o.jpg,$,3.50000,77,47.65547,-122.31281,False,,,98105,University District
534,534,Oasis Tea Zone,coffee,(206) 547-9967,https://s3-media1.fl.yelpcdn.com/bphoto/hP60hkrKd__gde4vXXle3Q/o.jpg,$,3.50000,210,47.66201,-122.31277,False,,,98105,University District
577,577,Ding Tea Seattle,coffee,(206) 456-7192,https://s3-media3.fl.yelpcdn.com/bphoto/swK81jt-c_MF_VT3pEZHZQ/o.jpg,$,3.50000,50,47.66386,-122.31339,False,,,98105,University District
651,651,Starbucks,coffee,(206) 547-3280,https://s3-media3.fl.yelpcdn.com/bphoto/7ZYRT_k3RkF0KAmKxG4otg/o.jpg,$,3.00000,101,47.65818,-122.31366,False,,,98105,University District
661,661,Kiki Cafe & Teahouse,coffee,(206) 823-3688,https://s3-media2.fl.yelpcdn.com/bphoto/xniftsZEX4aLycsEGoDg1A/o.jpg,$,3.50000,29,47.66350,-122.31609,False,,,98105,University District
714,714,Cafe on the Ave,coffee,(206) 632-6001,https://s3-media3.fl.yelpcdn.com/bphoto/BZI-UpwhQIjDcoH0cBT2JQ/o.jpg,$$,2.50000,348,47.65851,-122.31353,False,,,98105,University District
730,730,Starbucks,coffee,(206) 634-1390,https://s3-media2.fl.yelpcdn.com/bphoto/GOJXOteWqOU4UzZwkNGWyA/o.jpg,$,3.50000,35,47.66279,-122.31340,False,,,98105,University District
802,802,7-Eleven,coffee,(206) 632-0722,https://s3-media2.fl.yelpcdn.com/bphoto/YikT6nMPF146eRdJDHiprw/o.jpg,$,3.50000,15,47.65909,-122.31302,False,,,98105,University District
830,830,Overpass Espresso,coffee,(206) 616-2763,https://s3-media2.fl.yelpcdn.com/bphoto/LktpvqvfB-Btn1NKIys3ew/o.jpg,$,5.00000,5,47.65100,-122.30903,False,,,98195,University District
834,834,Parnassus Cafe & Art Gallery,coffee,(206) 543-7033,https://s3-media3.fl.yelpcdn.com/bphoto/HO9FVsS9a4CHUb1mHTFeXQ/o.jpg,$,3.50000,20,47.65809,-122.30638,False,,,98105,University District
885,885,Husky Grind,coffee,(206) 221-2398,https://s3-media4.fl.yelpcdn.com/bphoto/T3auVqV5R0d1ZA5NoLQazQ/o.jpg,$,4.00000,7,47.65467,-122.31723,False,,,98105,University District
907,907,Rick's Cafe,coffee,,https://s3-media1.fl.yelpcdn.com/bphoto/WcUmqDs7K-GARHjxtwpPgQ/o.jpg,$,5.00000,4,47.65907,-122.30427,False,,,98105,University District
1028,34,Sharetea,coffee,(206) 632-1038,https://s3-media2.fl.yelpcdn.com/bphoto/Ir9-WaONyaMdCiB2-X7Fsw/o.jpg,$,4.00000,437,47.66134,-122.31626,False,,,98105,University District
1056,70,WOW Bubble Tea,coffee,(206) 633-1229,https://s3-media4.fl.yelpcdn.com/bphoto/mvmzG2nmk5X22bVjH1y8Xg/o.jpg,$,4.00000,283,47.66284,-122.31326,False,,,98105,University District
1057,71,Tea Republik,coffee,(206) 497-7631,https://s3-media1.fl.yelpcdn.com/bphoto/Cpllzo5N5-ZSkzpTXMfREw/o.jpg,$,4.50000,282,47.66209,-122.31328,False,,,98105,University District
1065,81,Sweet Alchemy Ice Creamery,coffee,(206) 632-0243,https://s3-media1.fl.yelpcdn.com/bphoto/ynKeZveeg2IGNtRB2YwrhQ/o.jpg,$$,4.50000,261,47.65998,-122.31337,False,,,98105,University District
1080,99,Cafe Allegro,coffee,(206) 633-3030,https://s3-media2.fl.yelpcdn.com/bphoto/1cIyREe5BC9W_xW4lmwdaQ/o.jpg,$,4.00000,233,47.65877,-122.31287,False,,,98105,University District
1087,109,Oasis Tea Zone,coffee,(206) 547-9967,https://s3-media1.fl.yelpcdn.com/bphoto/hP60hkrKd__gde4vXXle3Q/o.jpg,$,3.50000,210,47.66201,-122.31277,False,,,98105,University District
1099,127,Citra,coffee,(206) 327-9012,https://s3-media1.fl.yelpcdn.com/bphoto/jo-fVrNNeUNWCR64Zx4B3Q/o.jpg,$,4.50000,178,47.66382,-122.31297,False,,,98105,University District
1120,160,Herkimer Coffee,coffee,(206) 525-5070,https://s3-media2.fl.yelpcdn.com/bphoto/GR6sk8byz_HqwNrKGs5VtA/o.jpg,$,4.50000,154,47.66987,-122.31339,False,,,98105,University District
1126,169,Cafe Racer,coffee,(206) 523-5282,https://s3-media3.fl.yelpcdn.com/bphoto/TP9euRdRPZyu9Kt45-5U2w/o.jpg,$,3.50000,147,47.67143,-122.31705,False,,,98105,University District
1182,250,Starbucks,coffee,(206) 547-3280,https://s3-media3.fl.yelpcdn.com/bphoto/7ZYRT_k3RkF0KAmKxG4otg/o.jpg,$,3.00000,101,47.65818,-122.31366,False,,,98105,University District
1219,305,Trinity Market,coffee,(206) 659-0934,https://s3-media1.fl.yelpcdn.com/bphoto/XQS_vcJpwFq32FQu5kikOw/o.jpg,$,4.00000,86,47.65973,-122.31828,False,,,98105,University District
1239,337,Bean & Bagel,coffee,,https://s3-media2.fl.yelpcdn.com/bphoto/HndGNVSqS8U_bsYB7VyAXg/o.jpg,$,3.50000,77,47.65547,-122.31281,False,,,98105,University District
1250,348,Bulldog News,coffee,(206) 632-6397,https://s3-media2.fl.yelpcdn.com/bphoto/GSW94UlI5xuyosz3o-hdZw/o.jpg,$,4.50000,75,47.65856,-122.31312,False,,,98105,University District
1299,421,Jake's Coffee,coffee,(206) 457-5319,https://s3-media3.fl.yelpcdn.com/bphoto/MzhaHRDF2CM_KurcM2E3Vg/o.jpg,$,4.00000,56,47.66325,-122.31566,False,,,98105,University District
1308,435,Seven Coffee Roasters,coffee,(206) 517-5572,https://s3-media2.fl.yelpcdn.com/bphoto/3O1pHwB9Oki9DKV6vA6Ztg/o.jpg,$,4.50000,53,47.66908,-122.30603,False,,,98105,University District
1348,500,Ding Tea Seattle,coffee,(206) 456-7192,https://s3-media3.fl.yelpcdn.com/bphoto/swK81jt-c_MF_VT3pEZHZQ/o.jpg,$,3.50000,44,47.66386,-122.31339,False,,,98105,University District
1413,590,Bambu,coffee,(206) 588-2227,https://s3-media1.fl.yelpcdn.com/bphoto/GXG1yS_YZzOw6P_DmCMaCg/o.jpg,$,4.00000,37,47.66163,-122.31339,False,,,98105,University District
1480,698,Kiki Cafe & Teahouse,coffee,(206) 823-3688,https://s3-media1.fl.yelpcdn.com/bphoto/Eekf3Te-l4U2k1ZjvqVcqQ/o.jpg,$,3.50000,27,47.66350,-122.31609,False,,,98105,University District
1553,797,Parnassus Cafe & Art Gallery,coffee,(206) 543-7033,https://s3-media3.fl.yelpcdn.com/bphoto/HO9FVsS9a4CHUb1mHTFeXQ/o.jpg,$,3.50000,20,47.65809,-122.30638,False,,,98105,University District
1640,911,7-Eleven,coffee,(206) 632-0722,https://s3-media2.fl.yelpcdn.com/bphoto/YikT6nMPF146eRdJDHiprw/o.jpg,$,3.50000,15,47.65909,-122.31302,False,,,98105,University District
1715,0,Portage Bay Cafe - Roosevelt,cafes,(206) 547-8230,https://s3-media1.fl.yelpcdn.com/bphoto/D1oi0eKTBuRlZiWe_Peejg/o.jpg,$$,4.00000,1888,47.65775,-122.31749,False,,,98105,University District
1724,10,Voula's Offshore Cafe,cafes,(206) 634-0183,https://s3-media2.fl.yelpcdn.com/bphoto/rH8pT54fN5jnAc2rddMekg/o.jpg,$$,4.00000,562,47.65476,-122.32155,False,,,98105,University District
1738,26,Cafe Solstice,cafes,(206) 675-0850,https://s3-media1.fl.yelpcdn.com/bphoto/tPaJhGl2q14hb9TGhGOmaw/o.jpg,$,4.00000,369,47.65741,-122.31291,False,,,98105,University District
1817,134,Madeleine Bread & Desserts,cafes,(206) 632-7758,https://s3-media1.fl.yelpcdn.com/bphoto/vJpmdWjrnsM9yKN9DUXIFQ/o.jpg,$,3.00000,86,47.65821,-122.31302,False,,,98105,University District
1881,210,Broadfork Cafe,cafes,(206) 522-6966,https://s3-media3.fl.yelpcdn.com/bphoto/1XfftnsOyYgx5NF6LgZtfw/o.jpg,$$,4.00000,28,47.66474,-122.31556,False,,,98105,University District
1886,215,Pineapple Cafe,cafes,(206) 826-4244,https://s3-media3.fl.yelpcdn.com/bphoto/SkFEYuEzTOWg4VI-_efrPQ/o.jpg,$,3.00000,24,47.65952,-122.31735,False,,,98105,University District
1908,245,Plaza Cafe,cafes,,https://s3-media3.fl.yelpcdn.com/bphoto/1AzB8qPLYnkvEBUX9YV9PQ/o.jpg,$$,3.00000,13,47.64995,-122.30837,False,,,98195,University District
115,115,Trophy Cupcakes and Party,coffee,(206) 632-7020,https://s3-media3.fl.yelpcdn.com/bphoto/If1xTwIzLFqxN0pB9puxtw/o.jpg,$$,4.00000,749,47.66084,-122.33559,False,,,98103,Wallingford
124,124,Stone Way Cafe,coffee,(206) 420-4435,https://s3-media1.fl.yelpcdn.com/bphoto/SmI-TNKYGZsBo4c_YnrEOQ/o.jpg,$$,4.00000,214,47.64982,-122.34251,False,,,98103,Wallingford
216,216,Chocolati Café,coffee,(206) 633-7765,https://s3-media2.fl.yelpcdn.com/bphoto/UoWiKzZiWJ9dGgvmkNOoPA/o.jpg,$,4.00000,282,47.66156,-122.33688,False,,,98103,Wallingford
232,232,Diva Espresso,coffee,(206) 632-7019,https://s3-media4.fl.yelpcdn.com/bphoto/Bo5V7W6N50ETGHKfiLBI1Q/o.jpg,$,4.50000,56,47.66275,-122.34199,False,,,98103,Wallingford
278,278,Zoka Coffee Roaster & Tea Company,coffee,(206) 545-4277,https://s3-media2.fl.yelpcdn.com/bphoto/I6JW7lpdAmPJ8w-FLWbEKg/o.jpg,$$,4.00000,335,47.66882,-122.33287,False,,,98103,Wallingford
323,323,Fuel,coffee,(206) 634-2700,https://s3-media2.fl.yelpcdn.com/bphoto/WJLNz9EsCsxB4qDX_nVOAw/o.jpg,$,4.00000,154,47.66121,-122.33694,False,,,98103,Wallingford
343,343,Caffe Appassionato,coffee,(971) 278-1083,https://s3-media3.fl.yelpcdn.com/bphoto/CwxHy3NyjjOSjoGXR6RmkQ/o.jpg,$,4.00000,69,47.66154,-122.34246,False,,,98103,Wallingford
409,409,Irwin's Bakery and Cafe,coffee,(206) 675-1484,https://s3-media1.fl.yelpcdn.com/bphoto/pEIRU-3dILlbhedjHeEm1g/o.jpg,$,3.50000,134,47.65543,-122.33283,False,,,98103,Wallingford
455,455,Mosaic Coffeehouse,coffee,(206) 632-4560,https://s3-media2.fl.yelpcdn.com/bphoto/qqWWOH3DfSdi9Os4TeByMA/o.jpg,$,4.00000,34,47.66091,-122.32800,False,,,98105,Wallingford
484,484,Acadia,coffee,(253) 237-3480,https://s3-media4.fl.yelpcdn.com/bphoto/wBkmNbnO_IQ75MMN7jOuRg/o.jpg,$$,4.00000,36,47.64792,-122.33776,False,,,98103,Wallingford
548,548,Eltana,coffee,(206) 420-1293,https://s3-media3.fl.yelpcdn.com/bphoto/RXuByPB76pAGgPYJYqcKYA/o.jpg,$,3.50000,169,47.65427,-122.34221,False,,,98103,Wallingford
653,653,Palazzo,coffee,(206) 634-0922,https://s3-media4.fl.yelpcdn.com/bphoto/sNmQfr5crgmEE4vVOLreOw/o.jpg,$,4.00000,14,47.64818,-122.33458,False,,,98103,Wallingford
824,824,Starbucks,coffee,(206) 548-9507,https://s3-media3.fl.yelpcdn.com/bphoto/RMz6z7LIZm7vtIVTkVEyHQ/o.jpg,$,3.00000,29,47.66148,-122.33309,False,,,98103,Wallingford
1010,12,Trophy Cupcakes and Party,coffee,(206) 632-7020,https://s3-media3.fl.yelpcdn.com/bphoto/If1xTwIzLFqxN0pB9puxtw/o.jpg,$$,4.00000,749,47.66084,-122.33559,False,,,98103,Wallingford
1039,51,Zoka Coffee Roaster & Tea Company,coffee,(206) 545-4277,https://s3-media2.fl.yelpcdn.com/bphoto/I6JW7lpdAmPJ8w-FLWbEKg/o.jpg,$$,4.00000,335,47.66882,-122.33287,False,,,98103,Wallingford
1058,72,Chocolati Café,coffee,(206) 633-7765,https://s3-media2.fl.yelpcdn.com/bphoto/UoWiKzZiWJ9dGgvmkNOoPA/o.jpg,$,4.00000,282,47.66156,-122.33688,False,,,98103,Wallingford
1085,107,Stone Way Cafe,coffee,(206) 420-4435,https://s3-media1.fl.yelpcdn.com/bphoto/SmI-TNKYGZsBo4c_YnrEOQ/o.jpg,$$,4.00000,213,47.64982,-122.34251,False,,,98103,Wallingford
1106,140,Eltana,coffee,(206) 420-1293,https://s3-media3.fl.yelpcdn.com/bphoto/RXuByPB76pAGgPYJYqcKYA/o.jpg,$,3.50000,168,47.65427,-122.34221,False,,,98103,Wallingford
1119,157,Fuel,coffee,(206) 634-2700,https://s3-media2.fl.yelpcdn.com/bphoto/WJLNz9EsCsxB4qDX_nVOAw/o.jpg,$,4.00000,154,47.66121,-122.33694,False,,,98103,Wallingford
1137,187,Irwin's Bakery and Cafe,coffee,(206) 675-1484,https://s3-media1.fl.yelpcdn.com/bphoto/pEIRU-3dILlbhedjHeEm1g/o.jpg,$,3.50000,134,47.65543,-122.33283,False,,,98103,Wallingford
1430,619,Mosaic Coffeehouse,coffee,(206) 632-4560,https://s3-media2.fl.yelpcdn.com/bphoto/qqWWOH3DfSdi9Os4TeByMA/o.jpg,$,4.00000,34,47.66091,-122.32800,False,,,98105,Wallingford
1460,670,Starbucks,coffee,(206) 548-9507,https://s3-media3.fl.yelpcdn.com/bphoto/RMz6z7LIZm7vtIVTkVEyHQ/o.jpg,$,3.00000,29,47.66148,-122.33309,False,,,98103,Wallingford
1643,914,Palazzo,coffee,(206) 634-0922,https://s3-media1.fl.yelpcdn.com/bphoto/KeQ0p8xdDEic_-NKMWH_VA/o.jpg,$,4.00000,14,47.64818,-122.33458,False,,,98103,Wallingford
1748,40,The Essential Bakery Cafe - Wallingford,cafes,(206) 545-0444,https://s3-media1.fl.yelpcdn.com/bphoto/1Q2ZGKtihEf_1fiCbX5fwg/o.jpg,$$,3.50000,289,47.64830,-122.33837,False,,,98103,Wallingford
1808,121,MiiR,cafes,(206) 566-7207,https://s3-media4.fl.yelpcdn.com/bphoto/n7oeucIOQQ2l3tHkbew7Mw/o.jpg,$,4.50000,102,47.64880,-122.34256,False,,,98103,Wallingford
344,344,Java Jazz,coffee,(206) 282-2321,https://s3-media2.fl.yelpcdn.com/bphoto/JXvQzrVvPfUT_xWrJZwvcQ/o.jpg,$,4.50000,32,47.65190,-122.37658,False,,,98119,Interbay
521,521,Caffe Appassionato,coffee,(206) 281-8040,https://s3-media2.fl.yelpcdn.com/bphoto/DNJav6uP824OcIe59-4lCA/o.jpg,$,3.50000,64,47.65614,-122.38376,False,,,98199,Interbay
1390,561,McDonald's,coffee,(253) 856-1310,https://s3-media2.fl.yelpcdn.com/bphoto/_SKRTEI32S3eYUGjPcKdaw/o.jpg,$,2.00000,38,47.38640,-122.19785,False,,,98030,Kent East Hill
1879,208,Tropical Smoothie Cafe,cafes,(253) 246-7347,https://s3-media1.fl.yelpcdn.com/bphoto/OomwxN8s9i3DQtqXfJLLkg/o.jpg,$,4.00000,28,47.35837,-122.16707,False,,,98042,Kent East Hill
1966,307,Arielle's Gourmet Cup,cafes,(253) 859-5665,https://s3-media1.fl.yelpcdn.com/bphoto/6rAnCPl9JA7eVeVwUCuEEA/o.jpg,,4.00000,1,47.38859,-122.20106,False,,,98031,Kent East Hill
826,826,Java Junction,coffee,(425) 883-8932,https://s3-media4.fl.yelpcdn.com/bphoto/wQFT3xlL4MSBZtYm_MPGNg/o.jpg,$,4.00000,10,47.70212,-122.09226,False,,,98052,North Redmond
994,994,Starbucks,coffee,(425) 702-8096,https://s3-media3.fl.yelpcdn.com/bphoto/3LIAMsOCOnX9RGE9uWTh7A/o.jpg,$,2.50000,24,47.70279,-122.09359,False,,,98052,North Redmond
1512,740,Starbucks,coffee,(425) 702-8096,https://s3-media3.fl.yelpcdn.com/bphoto/3LIAMsOCOnX9RGE9uWTh7A/o.jpg,$,2.50000,24,47.70279,-122.09359,False,,,98052,North Redmond
24,24,Storyville Coffee Company,coffee,(206) 780-5777,https://s3-media1.fl.yelpcdn.com/bphoto/OEfDyTh_WCoIu205NLutaA/o.jpg,$$,4.50000,231,47.63825,-122.35680,False,,,98109,Queen Anne
43,43,Bite Box,coffee,(206) 708-1213,https://s3-media3.fl.yelpcdn.com/bphoto/gbeEHQ9fxq7KgwMM27xIJQ/o.jpg,$$,4.50000,75,47.63942,-122.36144,False,,,98119,Queen Anne
50,50,The Wick Motorcycles and Coffee,coffee,(206) 383-3374,https://s3-media2.fl.yelpcdn.com/bphoto/wmmWjGz99cVgL4J7ZvWrhg/o.jpg,$,5.00000,41,47.64890,-122.35751,False,,,98109,Queen Anne
56,56,Konvene Coffee,coffee,(206) 866-9134,https://s3-media3.fl.yelpcdn.com/bphoto/dF7WpWV7LHRnl1S2WjjriQ/o.jpg,$$,4.50000,51,47.62484,-122.34709,False,,,98109,Queen Anne
66,66,Sugar Bakery & Coffeehouse,coffee,(206) 695-2518,https://s3-media2.fl.yelpcdn.com/bphoto/wMobbIc1p7ZB7Z3q_pVpBQ/o.jpg,$$,4.50000,115,47.62343,-122.35486,False,,,98109,Queen Anne
110,110,La Marzocco Café & Showroom,coffee,(206) 388-3500,https://s3-media4.fl.yelpcdn.com/bphoto/lW7f8VRXBmEPwTSxVkfWzA/o.jpg,$,4.50000,185,47.62284,-122.35520,False,,,98109,Queen Anne
117,117,Coffeemind,coffee,(206) 717-2147,https://s3-media4.fl.yelpcdn.com/bphoto/0rJnNy62E_kpWaFe45gN0Q/o.jpg,$$,4.50000,39,47.63622,-122.37064,False,,,98119,Queen Anne
198,198,Electric Cloud Coffee,coffee,,https://s3-media2.fl.yelpcdn.com/bphoto/OkzRlsaMMyD7fqI3i9tl-A/o.jpg,$,4.50000,27,47.64536,-122.34975,False,,,98109,Queen Anne
200,200,Caffe Vita Queen Anne,coffee,(206) 285-9662,https://s3-media1.fl.yelpcdn.com/bphoto/xUz5ni6T0kLtT_OF4-lv0A/o.jpg,$,4.00000,181,47.62680,-122.34772,False,,,98109,Queen Anne
205,205,Citizen,coffee,(206) 284-1015,https://s3-media3.fl.yelpcdn.com/bphoto/_FElbKQSY4jdj3KILGq9ZQ/o.jpg,$$,4.00000,861,47.62575,-122.34588,False,,,98109,Queen Anne
213,213,Queen Bee Cafe,coffee,(206) 285-1472,https://s3-media2.fl.yelpcdn.com/bphoto/_GAp7lX0RCKR_y1sCzTpjg/o.jpg,$$,4.50000,72,47.63213,-122.36011,False,,,98119,Queen Anne
237,237,Uptown Espresso,coffee,(206) 285-3757,https://s3-media2.fl.yelpcdn.com/bphoto/9-DbPEGYw3K9t_eVueOrQg/o.jpg,$,4.00000,170,47.62403,-122.35697,False,,,98119,Queen Anne
241,241,Caffe Zingaro,coffee,(206) 352-2861,https://s3-media4.fl.yelpcdn.com/bphoto/G10D-YKi4QAX2fYg99PdAw/o.jpg,$,4.00000,181,47.62440,-122.35426,False,,,98109,Queen Anne
307,307,Caffe Fiore Queen Anne,coffee,(206) 282-1441,https://s3-media2.fl.yelpcdn.com/bphoto/XCvPpaRuY279A1AtzaT1-w/o.jpg,$,4.00000,138,47.63251,-122.36075,False,,,98119,Queen Anne
328,328,The Seattle Grind,coffee,(206) 436-4846,https://s3-media2.fl.yelpcdn.com/bphoto/ItB-fCqE5-91BNCwYWDAnw/o.jpg,$,4.00000,72,47.62234,-122.34712,False,,,98109,Queen Anne
338,338,Top Pot Doughnuts,coffee,(206) 631-2120,https://s3-media3.fl.yelpcdn.com/bphoto/1H_dq3VCJb2jAUTBdsarDQ/o.jpg,$,4.00000,142,47.63217,-122.36165,False,,,98119,Queen Anne
359,359,S & L,coffee,(425) 802-1891,https://s3-media3.fl.yelpcdn.com/bphoto/ke6LyheyoV45n5kaokrXyg/o.jpg,$,4.50000,17,47.63940,-122.36468,False,,,98119,Queen Anne
375,375,Pressed Juicery,coffee,(206) 282-0651,https://s3-media1.fl.yelpcdn.com/bphoto/C_CG2MBOJtncfthw2SSPcQ/o.jpg,$$,4.00000,36,47.62509,-122.35523,False,,,98109,Queen Anne
383,383,Caffe Ladro,coffee,(206) 282-1549,https://s3-media1.fl.yelpcdn.com/bphoto/VlkxjI8MW0kwabfrLq23QQ/o.jpg,$,3.50000,151,47.62532,-122.35653,False,,,98109,Queen Anne
498,498,Starbucks,coffee,(206) 301-9477,https://s3-media1.fl.yelpcdn.com/bphoto/vvkGiXO0bafpnUD6tOvoaQ/o.jpg,$$,4.00000,51,47.63821,-122.35732,False,,,98119,Queen Anne
519,519,Gourmet Latté,coffee,,https://s3-media1.fl.yelpcdn.com/bphoto/pfNvKyaOBh9Tmw6hmFcUzg/o.jpg,$,4.00000,27,47.62419,-122.36476,False,,,98119,Queen Anne
523,523,Caffe Ladro,coffee,(206) 282-5313,https://s3-media2.fl.yelpcdn.com/bphoto/C7ne46Za6RLXvH_PkWGJ9A/o.jpg,$,3.50000,94,47.63868,-122.35716,False,,,98109,Queen Anne
538,538,Conduit Coffee Roasters,coffee,(206) 456-6536,https://s3-media3.fl.yelpcdn.com/bphoto/L5PnSgRlKGhDrd1bpOlltg/o.jpg,$$,4.50000,13,47.64230,-122.34368,False,,,98109,Queen Anne
563,563,Queen Anne Coffee Co,coffee,(206) 566-6788,https://s3-media2.fl.yelpcdn.com/bphoto/1VnfjLkbCCuCANKDSjib8A/o.jpg,,4.50000,11,47.63519,-122.35722,False,,,98109,Queen Anne
619,619,Starbucks,coffee,(206) 728-4077,https://s3-media2.fl.yelpcdn.com/bphoto/Vkxp1IAGiByOh1V_jBQzgg/o.jpg,$$,3.50000,49,47.62110,-122.35081,False,,,98109,Queen Anne
630,630,Starbucks,coffee,(206) 691-3396,https://s3-media2.fl.yelpcdn.com/bphoto/lyXfHHxkQIAJS6QLfj7J1g/o.jpg,$$,3.50000,39,47.62305,-122.35697,False,,,98119,Queen Anne
761,761,Starbucks,coffee,(206) 283-9629,https://s3-media4.fl.yelpcdn.com/bphoto/ks_aPB4AiXuR7WwkeiAHjg/o.jpg,$$,3.00000,40,47.62981,-122.37214,False,,,98119,Queen Anne
820,820,Culture Kitchen Wolfgang Puck,coffee,(206) 262-3030,https://s3-media2.fl.yelpcdn.com/bphoto/IbHOas4irvSRWVp2NnBk2g/o.jpg,$$,3.00000,37,47.62148,-122.34846,False,,,98109,Queen Anne
898,898,Eltana,coffee,(206) 724-0660,https://s3-media2.fl.yelpcdn.com/bphoto/Yi3tJkKU8FUuxooCXgZwqA/o.jpg,$$,3.00000,27,47.62203,-122.35530,False,,,98109,Queen Anne
1008,9,Citizen,coffee,(206) 284-1015,https://s3-media1.fl.yelpcdn.com/bphoto/6sRHsY5k4gOCoq-w3pgkxQ/o.jpg,$$,4.00000,860,47.62575,-122.34588,False,,,98109,Queen Anne
1081,100,Storyville Coffee Company,coffee,(206) 780-5777,https://s3-media1.fl.yelpcdn.com/bphoto/OEfDyTh_WCoIu205NLutaA/o.jpg,$$,4.50000,230,47.63825,-122.35680,False,,,98109,Queen Anne
1094,119,La Marzocco Café & Showroom,coffee,(206) 388-3500,https://s3-media2.fl.yelpcdn.com/bphoto/DK8_gMGSz_YnmgQZ3ZYEJw/o.jpg,$,4.50000,185,47.62284,-122.35520,False,,,98109,Queen Anne
